sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-03-06;"3,006.87";"2,955.22";"2,966.24";;1;
2026-03-05;"3,019.01";"2,971.81";"2,981.20";;1;
2026-03-04;"3,009.72";"2,941.58";"3,000.22";;1;
2026-03-03;"3,007.67";"2,933.98";"2,950.91";;1;
2026-03-02;"3,056.62";"3,029.80";"3,039.92";;1;
2026-02-27;"3,108.34";"3,069.45";"3,100.46";;1;
2026-02-26;"3,078.28";"3,022.04";"3,074.40";;1;
2026-02-25;"3,036.60";"3,004.25";"3,026.77";;1;
2026-02-24;"3,050.03";"2,986.41";"3,024.63";;1;
2026-02-23;"3,034.11";"2,994.91";"2,996.83";;1;
2026-02-20;"3,022.67";"2,956.85";"3,022.67";;1;
2026-02-19;"2,941.49";"2,902.61";"2,921.63";;1;
2026-02-18;"2,954.62";"2,909.86";"2,912.08";;1;
2026-02-17;"2,960.85";"2,917.76";"2,960.85";;1;
2026-02-16;"2,955.34";"2,917.45";"2,917.45";;1;
2026-02-13;"2,982.60";"2,934.43";"2,941.31";;1;
2026-02-12;"2,994.98";"2,927.54";"2,989.15";;1;
2026-02-11;"3,053.28";"2,975.92";"2,975.92";;1;
2026-02-10;"3,044.56";"3,007.21";"3,044.56";;1;
2026-02-09;"3,064.78";"2,972.80";"2,997.68";;1;
2026-02-06;"3,038.56";"2,973.93";"3,032.55";;1;
2026-02-05;"3,017.81";"2,971.73";"3,004.59";;1;
2026-02-04;"3,028.96";"2,956.67";"3,014.41";;1;
2026-02-03;"3,015.20";"2,969.10";"2,983.77";;1;
2026-02-02;"3,035.81";"2,986.36";"3,013.56";;1;
2026-01-30;"3,059.60";"3,008.98";"3,018.37";;1;
2026-01-29;"3,070.96";"3,013.74";"3,058.96";;1;
2026-01-28;"3,017.31";"2,950.87";"3,013.89";;1;
2026-01-27;"2,989.68";"2,956.62";"2,961.46";;1;
2026-01-26;"3,011.00";"2,972.10";"2,994.62";;1;
2026-01-23;"3,005.41";"2,982.40";"3,001.04";;1;
2026-01-22;"3,006.18";"2,964.79";"2,985.81";;1;
2026-01-21;"2,958.68";"2,926.70";"2,942.70";;1;
2026-01-20;"3,028.91";"2,965.67";"2,970.94";;1;
2026-01-19;"3,069.93";"3,030.87";"3,035.03";;1;
2026-01-16;"3,107.46";"3,072.18";"3,088.22";;1;
2026-01-15;"3,104.05";"3,028.74";"3,102.25";;1;
2026-01-14;"3,083.14";"3,003.98";"3,031.71";;1;
2026-01-13;"3,089.82";"3,058.29";"3,081.70";;1;
2026-01-12;"3,107.45";"3,077.62";"3,091.11";;1;
2026-01-09;"3,111.52";"3,057.99";"3,111.52";;1;
2026-01-08;"3,121.05";"3,081.79";"3,081.79";;1;
2026-01-07;"3,109.75";"3,021.77";"3,109.75";;1;
2026-01-05;"2,997.93";"2,972.08";"2,989.97";;1;
2026-01-02;"3,044.70";"2,993.31";"2,997.14";;1;
2025-12-30;"3,045.04";"3,013.62";"3,042.51";;1;
2025-12-29;"3,031.87";"2,980.12";"3,025.59";;1;
2025-12-23;"3,001.05";"2,967.51";"2,987.65";;1;
2025-12-22;"2,976.89";"2,945.50";"2,966.32";;1;
2025-12-19;"2,986.17";"2,948.82";"2,974.84";;1;
2025-12-18;"2,987.57";"2,962.24";"2,984.66";;1;
2025-12-17;"2,988.46";"2,947.35";"2,985.68";;1;
2025-12-16;"2,970.68";"2,938.98";"2,964.71";;1;
2025-12-15;"2,991.76";"2,960.75";"2,960.75";;1;
2025-12-12;"3,003.66";"2,966.98";"2,982.13";;1;
2025-12-11;"2,977.75";"2,948.86";"2,968.93";;1;
2025-12-10;"2,981.17";"2,949.22";"2,977.25";;1;
2025-12-09;"2,982.02";"2,948.54";"2,952.25";;1;
2025-12-08;"3,027.43";"2,981.32";"2,981.32";;1;
2025-12-05;"3,044.08";"3,005.77";"3,021.29";;1;
2025-12-04;"3,015.30";"2,976.85";"3,010.07";;1;
2025-12-03;"3,011.05";"2,966.00";"2,969.31";;1;
