sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-02-27;"4,291.33";"4,245.52";"4,264.18";;1;
2026-02-26;"4,283.60";"4,255.06";"4,271.18";;1;
2026-02-25;"4,255.98";"4,221.94";"4,236.75";;1;
2026-02-24;"4,216.75";"4,171.87";"4,199.98";;1;
2026-02-23;"4,245.80";"4,186.33";"4,190.74";;1;
2026-02-20;"4,249.61";"4,203.43";"4,245.11";;1;
2026-02-19;"4,254.63";"4,207.10";"4,207.10";;1;
2026-02-18;"4,252.83";"4,209.33";"4,247.48";;1;
2026-02-17;"4,196.20";"4,154.46";"4,194.26";;1;
2026-02-16;"4,197.35";"4,166.88";"4,173.79";;1;
2026-02-13;"4,182.88";"4,121.09";"4,140.60";;1;
2026-02-12;"4,244.97";"4,175.24";"4,175.50";;1;
2026-02-11;"4,263.90";"4,213.63";"4,226.50";;1;
2026-02-10;"4,285.51";"4,262.43";"4,262.43";;1;
2026-02-09;"4,273.81";"4,227.69";"4,263.10";;1;
2026-02-06;"4,241.61";"4,162.36";"4,223.77";;1;
2026-02-05;"4,253.16";"4,161.86";"4,178.08";;1;
2026-02-04;"4,275.26";"4,204.12";"4,256.24";;1;
2026-02-03;"4,302.23";"4,213.60";"4,224.03";;1;
2026-02-02;"4,261.15";"4,133.20";"4,251.13";;1;
2026-01-30;"4,222.45";"4,175.07";"4,182.34";;1;
2026-01-29;"4,237.71";"4,179.21";"4,184.67";;1;
2026-01-28;"4,260.24";"4,216.32";"4,232.58";;1;
2026-01-27;"4,248.53";"4,226.55";"4,242.78";;1;
2026-01-26;"4,234.43";"4,205.57";"4,207.56";;1;
2026-01-23;"4,244.62";"4,213.88";"4,222.07";;1;
2026-01-22;"4,298.67";"4,251.17";"4,262.90";;1;
2026-01-21;"4,199.91";"4,119.75";"4,197.81";;1;
2026-01-20;"4,187.52";"4,129.76";"4,182.84";;1;
2026-01-19;"4,219.88";"4,177.37";"4,187.93";;1;
2026-01-16;"4,300.02";"4,264.70";"4,299.89";;1;
2026-01-15;"4,288.88";"4,257.53";"4,287.19";;1;
2026-01-14;"4,227.54";"4,188.77";"4,207.73";;1;
2026-01-13;"4,218.90";"4,187.89";"4,207.64";;1;
2026-01-12;"4,201.69";"4,160.86";"4,188.81";;1;
2026-01-09;"4,186.01";"4,140.93";"4,186.01";;1;
2026-01-08;"4,165.57";"4,125.27";"4,142.31";;1;
2026-01-07;"4,199.42";"4,144.36";"4,172.56";;1;
2026-01-05;"4,134.52";"4,098.01";"4,117.39";;1;
2026-01-02;"4,151.04";"4,097.71";"4,106.47";;1;
2025-12-30;"4,134.71";"4,084.11";"4,117.89";;1;
2025-12-29;"4,091.42";"4,067.60";"4,087.86";;1;
2025-12-23;"4,076.26";"4,052.64";"4,066.54";;1;
2025-12-22;"4,054.53";"4,027.33";"4,054.53";;1;
2025-12-19;"4,039.46";"4,009.83";"4,034.56";;1;
2025-12-18;"3,999.80";"3,942.20";"3,999.80";;1;
2025-12-17;"3,979.17";"3,946.09";"3,954.65";;1;
2025-12-16;"3,984.64";"3,961.77";"3,962.25";;1;
2025-12-15;"3,997.67";"3,972.97";"3,977.86";;1;
2025-12-12;"4,009.17";"3,956.51";"3,958.46";;1;
2025-12-11;"3,987.30";"3,945.80";"3,972.78";;1;
2025-12-10;"3,978.24";"3,920.16";"3,962.43";;1;
2025-12-09;"3,977.26";"3,933.91";"3,937.26";;1;
2025-12-08;"3,966.27";"3,942.17";"3,948.19";;1;
2025-12-05;"3,979.75";"3,937.40";"3,962.04";;1;
2025-12-04;"3,945.95";"3,917.62";"3,940.50";;1;
2025-12-03;"3,947.15";"3,918.71";"3,919.49";;1;
2025-12-02;"3,953.20";"3,925.57";"3,943.55";;1;
2025-12-01;"3,943.54";"3,909.35";"3,935.87";;1;
2025-11-28;"3,973.08";"3,949.02";"3,950.86";;1;
2025-11-27;"3,978.73";"3,946.70";"3,965.91";;1;
2025-11-26;"3,957.89";"3,914.40";"3,948.12";;1;
2025-11-25;"3,913.18";"3,861.91";"3,903.52";;1;
2025-11-24;"3,885.69";"3,850.77";"3,868.95";;1;
2025-11-21;"3,828.78";"3,762.01";"3,811.17";;1;
2025-11-20;"3,849.34";"3,823.98";"3,825.72";;1;
2025-11-19;"3,804.26";"3,760.23";"3,785.08";;1;
2025-11-18;"3,820.65";"3,763.23";"3,776.28";;1;
2025-11-17;"3,911.22";"3,863.72";"3,867.32";;1;
2025-11-14;"3,912.71";"3,859.58";"3,908.46";;1;
2025-11-13;"3,993.17";"3,942.68";"3,942.68";;1;
2025-11-12;"3,985.84";"3,935.91";"3,965.51";;1;
2025-11-11;"3,936.08";"3,883.53";"3,935.70";;1;
2025-11-10;"3,891.08";"3,874.37";"3,875.35";;1;
2025-11-07;"3,875.05";"3,813.47";"3,828.77";;1;
2025-11-06;"3,879.62";"3,858.72";"3,861.14";;1;
2025-11-05;"3,865.11";"3,830.46";"3,862.22";;1;
2025-11-04;"3,870.21";"3,801.95";"3,863.66";;1;
2025-11-03;"3,887.93";"3,856.67";"3,869.57";;1;
2025-10-31;"3,890.30";"3,865.57";"3,871.29";;1;
2025-10-30;"3,891.28";"3,865.01";"3,888.76";;1;
2025-10-29;"3,885.35";"3,863.22";"3,869.11";;1;
2025-10-28;"3,890.55";"3,872.29";"3,879.04";;1;
2025-10-27;"3,894.39";"3,859.38";"3,893.58";;1;
2025-10-24;"3,867.13";"3,836.65";"3,863.02";;1;
2025-10-23;"3,860.50";"3,831.21";"3,848.13";;1;
2025-10-22;"3,854.24";"3,828.36";"3,845.58";;1;
2025-10-21;"3,841.12";"3,809.37";"3,838.84";;1;
2025-10-20;"3,832.70";"3,788.25";"3,832.68";;1;
2025-10-17;"3,807.14";"3,737.11";"3,783.89";;1;
2025-10-16;"3,867.01";"3,815.17";"3,838.09";;1;
2025-10-15;"3,859.89";"3,834.97";"3,848.11";;1;
2025-10-14;"3,820.27";"3,782.92";"3,817.68";;1;
2025-10-13;"3,852.77";"3,810.82";"3,824.72";;1;
2025-10-10;"3,895.74";"3,826.08";"3,826.08";;1;
2025-10-09;"3,868.67";"3,849.57";"3,862.71";;1;
2025-10-08;"3,866.13";"3,820.20";"3,840.24";;1;
2025-10-07;"3,855.75";"3,827.34";"3,827.35";;1;
2025-10-06;"3,871.79";"3,812.94";"3,858.29";;1;
