sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-06-05;"2,743.44";"2,695.54";"2,695.54";;1;
2026-06-04;"2,747.17";"2,711.26";"2,721.25";;1;
2026-06-03;"2,754.12";"2,717.65";"2,722.30";;1;
2026-06-02;"2,816.81";"2,756.51";"2,757.80";;1;
2026-06-01;"2,835.85";"2,773.05";"2,779.97";;1;
2026-05-29;"2,854.01";"2,826.93";"2,849.15";;1;
2026-05-28;"2,844.00";"2,819.35";"2,830.67";;1;
2026-05-27;"2,889.08";"2,838.59";"2,847.83";;1;
2026-05-26;"2,866.75";"2,837.14";"2,837.71";;1;
2026-05-25;"2,890.88";"2,854.88";"2,867.24";;1;
2026-05-22;"2,858.42";"2,820.92";"2,831.44";;1;
2026-05-21;"2,868.00";"2,838.05";"2,839.45";;1;
2026-05-20;"2,880.58";"2,801.37";"2,864.27";;1;
2026-05-19;"2,851.93";"2,811.72";"2,829.26";;1;
2026-05-18;"2,816.44";"2,752.85";"2,802.58";;1;
2026-05-15;"2,819.66";"2,773.64";"2,777.36";;1;
2026-05-13;"2,850.56";"2,804.74";"2,804.74";;1;
2026-05-12;"2,877.47";"2,838.07";"2,843.56";;1;
2026-05-11;"2,883.46";"2,816.63";"2,878.23";;1;
2026-05-08;"2,840.25";"2,815.91";"2,825.01";;1;
2026-05-07;"2,868.85";"2,841.56";"2,848.51";;1;
2026-05-06;"2,910.16";"2,804.90";"2,860.54";;1;
2026-05-05;"2,817.38";"2,780.87";"2,791.32";;1;
2026-05-04;"2,826.67";"2,755.74";"2,779.25";;1;
2026-04-30;"2,801.94";"2,773.71";"2,801.94";;1;
2026-04-29;"2,807.19";"2,769.19";"2,793.97";;1;
2026-04-28;"2,821.67";"2,786.44";"2,805.77";;1;
2026-04-27;"2,853.97";"2,818.40";"2,819.76";;1;
2026-04-24;"2,876.48";"2,842.32";"2,854.99";;1;
2026-04-23;"2,944.72";"2,879.40";"2,879.93";;1;
2026-04-22;"2,982.00";"2,934.59";"2,947.47";;1;
2026-04-21;"2,988.49";"2,940.32";"2,947.08";;1;
2026-04-20;"3,017.90";"2,977.62";"2,979.28";;1;
2026-04-17;"3,048.41";"2,995.10";"3,033.40";;1;
2026-04-16;"3,005.74";"2,943.76";"2,993.12";;1;
2026-04-15;"2,963.32";"2,940.63";"2,960.55";;1;
2026-04-14;"2,951.82";"2,900.57";"2,941.50";;1;
2026-04-13;"2,887.10";"2,862.34";"2,887.10";;1;
2026-04-10;"2,903.38";"2,874.65";"2,880.59";;1;
2026-04-09;"2,884.69";"2,849.42";"2,884.69";;1;
2026-04-08;"2,903.22";"2,861.71";"2,865.86";;1;
2026-04-07;"2,846.31";"2,797.68";"2,802.99";;1;
2026-04-02;"2,824.82";"2,790.47";"2,814.34";;1;
2026-04-01;"2,840.97";"2,806.23";"2,825.16";;1;
2026-03-31;"2,779.78";"2,736.03";"2,760.04";;1;
2026-03-30;"2,726.81";"2,644.48";"2,723.86";;1;
2026-03-27;"2,687.60";"2,659.55";"2,661.82";;1;
2026-03-26;"2,714.26";"2,690.08";"2,690.08";;1;
2026-03-25;"2,742.72";"2,704.07";"2,720.23";;1;
2026-03-24;"2,700.58";"2,666.71";"2,681.55";;1;
2026-03-23;"2,722.91";"2,597.28";"2,670.85";;1;
2026-03-20;"2,831.31";"2,731.11";"2,732.69";;1;
2026-03-19;"2,842.86";"2,801.52";"2,806.98";;1;
2026-03-18;"2,909.66";"2,862.50";"2,869.64";;1;
2026-03-17;"2,918.04";"2,873.68";"2,895.79";;1;
2026-03-16;"2,907.03";"2,853.62";"2,887.67";;1;
2026-03-13;"2,899.96";"2,864.40";"2,869.60";;1;
2026-03-12;"2,905.00";"2,880.62";"2,900.27";;1;
2026-03-11;"2,942.21";"2,898.40";"2,900.54";;1;
2026-03-10;"2,961.92";"2,925.70";"2,947.10";;1;
2026-03-09;"2,903.74";"2,862.81";"2,887.19";;1;
2026-03-06;"3,006.87";"2,955.22";"2,966.24";;1;
2026-03-05;"3,019.01";"2,971.81";"2,981.20";;1;
2026-03-04;"3,009.72";"2,941.58";"3,000.22";;1;
2026-03-03;"3,007.67";"2,933.98";"2,950.91";;1;
2026-03-02;"3,056.62";"3,029.80";"3,039.92";;1;
2026-02-27;"3,108.34";"3,069.45";"3,100.46";;1;
2026-02-26;"3,078.28";"3,022.04";"3,074.40";;1;
2026-02-25;"3,036.60";"3,004.25";"3,026.77";;1;
2026-02-24;"3,050.03";"2,986.41";"3,024.63";;1;
2026-02-23;"3,034.11";"2,994.91";"2,996.83";;1;
2026-02-20;"3,022.67";"2,956.85";"3,022.67";;1;
2026-02-19;"2,941.49";"2,902.61";"2,921.63";;1;
2026-02-18;"2,954.62";"2,909.86";"2,912.08";;1;
2026-02-17;"2,960.85";"2,917.76";"2,960.85";;1;
2026-02-16;"2,955.34";"2,917.45";"2,917.45";;1;
2026-02-13;"2,982.60";"2,934.43";"2,941.31";;1;
2026-02-12;"2,994.98";"2,927.54";"2,989.15";;1;
2026-02-11;"3,053.28";"2,975.92";"2,975.92";;1;
2026-02-10;"3,044.56";"3,007.21";"3,044.56";;1;
2026-02-09;"3,064.78";"2,972.80";"2,997.68";;1;
2026-02-06;"3,038.56";"2,973.93";"3,032.55";;1;
2026-02-05;"3,017.81";"2,971.73";"3,004.59";;1;
2026-02-04;"3,028.96";"2,956.67";"3,014.41";;1;
2026-02-03;"3,015.20";"2,969.10";"2,983.77";;1;
2026-02-02;"3,035.81";"2,986.36";"3,013.56";;1;
2026-01-30;"3,059.60";"3,008.98";"3,018.37";;1;
2026-01-29;"3,070.96";"3,013.74";"3,058.96";;1;
2026-01-28;"3,017.31";"2,950.87";"3,013.89";;1;
2026-01-27;"2,989.68";"2,956.62";"2,961.46";;1;
2026-01-26;"3,011.00";"2,972.10";"2,994.62";;1;
2026-01-23;"3,005.41";"2,982.40";"3,001.04";;1;
2026-01-22;"3,006.18";"2,964.79";"2,985.81";;1;
2026-01-21;"2,958.68";"2,926.70";"2,942.70";;1;
2026-01-20;"3,028.91";"2,965.67";"2,970.94";;1;
2026-01-19;"3,069.93";"3,030.87";"3,035.03";;1;
2026-01-16;"3,107.46";"3,072.18";"3,088.22";;1;
2026-01-15;"3,104.05";"3,028.74";"3,102.25";;1;
2026-01-14;"3,083.14";"3,003.98";"3,031.71";;1;
2026-01-13;"3,089.82";"3,058.29";"3,081.70";;1;
2026-01-12;"3,107.45";"3,077.62";"3,091.11";;1;
2026-01-09;"3,111.52";"3,057.99";"3,111.52";;1;
2026-01-08;"3,121.05";"3,081.79";"3,081.79";;1;
2026-01-07;"3,109.75";"3,021.77";"3,109.75";;1;
2026-01-05;"2,997.93";"2,972.08";"2,989.97";;1;
2026-01-02;"3,044.70";"2,993.31";"2,997.14";;1;
2025-12-30;"3,045.04";"3,013.62";"3,042.51";;1;
2025-12-29;"3,031.87";"2,980.12";"3,025.59";;1;
2025-12-23;"3,001.05";"2,967.51";"2,987.65";;1;
2025-12-22;"2,976.89";"2,945.50";"2,966.32";;1;
2025-12-19;"2,986.17";"2,948.82";"2,974.84";;1;
2025-12-18;"2,987.57";"2,962.24";"2,984.66";;1;
2025-12-17;"2,988.46";"2,947.35";"2,985.68";;1;
2025-12-16;"2,970.68";"2,938.98";"2,964.71";;1;
2025-12-15;"2,991.76";"2,960.75";"2,960.75";;1;
2025-12-12;"3,003.66";"2,966.98";"2,982.13";;1;
2025-12-11;"2,977.75";"2,948.86";"2,968.93";;1;
2025-12-10;"2,981.17";"2,949.22";"2,977.25";;1;
2025-12-09;"2,982.02";"2,948.54";"2,952.25";;1;
2025-12-08;"3,027.43";"2,981.32";"2,981.32";;1;
2025-12-05;"3,044.08";"3,005.77";"3,021.29";;1;
2025-12-04;"3,015.30";"2,976.85";"3,010.07";;1;
2025-12-03;"3,011.05";"2,966.00";"2,969.31";;1;
2025-12-02;"3,021.19";"2,987.87";"2,987.87";;1;
2025-12-01;"3,048.76";"3,012.20";"3,022.23";;1;
2025-11-28;"3,083.40";"3,047.98";"3,058.50";;1;
2025-11-27;"3,085.38";"3,061.23";"3,078.40";;1;
2025-11-26;"3,074.83";"3,020.83";"3,068.83";;1;
2025-11-25;"3,059.32";"3,027.41";"3,047.01";;1;
2025-11-24;"3,050.86";"3,018.18";"3,042.74";;1;
2025-11-21;"3,019.58";"2,981.12";"3,016.98";;1;
2025-11-20;"3,042.62";"2,996.46";"2,996.46";;1;
2025-11-19;"3,041.98";"3,008.13";"3,031.47";;1;
2025-11-18;"3,044.03";"3,021.47";"3,028.41";;1;
2025-11-17;"3,092.04";"3,047.06";"3,060.92";;1;
2025-11-14;"3,061.86";"3,025.67";"3,048.53";;1;
2025-11-13;"3,090.12";"3,056.20";"3,065.14";;1;
2025-11-12;"3,071.70";"3,035.04";"3,062.42";;1;
2025-11-11;"3,064.19";"3,015.85";"3,042.11";;1;
2025-11-10;"3,111.94";"3,043.70";"3,043.70";;1;
2025-11-07;"3,116.97";"3,087.25";"3,108.97";;1;
2025-11-06;"3,109.93";"3,088.29";"3,093.05";;1;
2025-11-05;"3,117.26";"3,082.92";"3,082.92";;1;
2025-11-04;"3,121.77";"3,097.33";"3,108.58";;1;
2025-11-03;"3,157.62";"3,120.90";"3,121.01";;1;
2025-10-31;"3,179.78";"3,140.83";"3,140.83";;1;
2025-10-30;"3,188.65";"3,166.39";"3,179.39";;1;
2025-10-29;"3,225.74";"3,188.43";"3,188.43";;1;
2025-10-28;"3,254.62";"3,197.26";"3,197.26";;1;
2025-10-27;"3,273.92";"3,238.46";"3,252.32";;1;
2025-10-24;"3,292.33";"3,217.51";"3,271.56";;1;
2025-10-23;"3,287.73";"3,236.72";"3,283.14";;1;
2025-10-22;"3,309.14";"3,264.56";"3,282.11";;1;
2025-10-21;"3,298.29";"3,220.98";"3,297.64";;1;
2025-10-20;"3,213.67";"3,178.35";"3,213.67";;1;
2025-10-17;"3,230.71";"3,164.14";"3,190.99";;1;
2025-10-16;"3,225.18";"3,195.78";"3,225.08";;1;
2025-10-15;"3,218.77";"3,192.41";"3,207.69";;1;
2025-10-14;"3,206.54";"3,121.25";"3,200.47";;1;
2025-10-13;"3,122.03";"3,044.62";"3,122.03";;1;
2025-10-10;"3,087.27";"3,018.38";"3,046.56";;1;
2025-10-09;"3,008.38";"2,971.80";"2,995.01";;1;
2025-10-08;"3,028.09";"2,990.56";"2,990.56";;1;
2025-10-07;"3,036.02";"3,012.79";"3,020.88";;1;
2025-10-06;"3,032.34";"2,992.69";"3,028.43";;1;
2025-10-03;"3,021.51";"2,979.27";"3,007.49";;1;
2025-10-02;"3,054.34";"2,972.96";"2,986.00";;1;
2025-10-01;"3,057.04";"3,014.59";"3,040.17";;1;
2025-09-30;"3,054.46";"3,004.59";"3,053.03";;1;
2025-09-29;"3,046.96";"3,006.09";"3,026.63";;1;
2025-09-26;"3,022.28";"2,983.48";"3,015.47";;1;
2025-09-25;"3,042.48";"2,981.29";"2,981.29";;1;
2025-09-24;"3,065.88";"3,038.10";"3,046.23";;1;
2025-09-23;"3,090.04";"3,033.95";"3,058.71";;1;
2025-09-22;"3,090.49";"3,029.96";"3,031.92";;1;
2025-09-19;"3,136.02";"3,093.73";"3,093.73";;1;
2025-09-18;"3,154.84";"3,099.11";"3,125.02";;1;
2025-09-17;"3,123.39";"3,069.17";"3,114.13";;1;
2025-09-16;"3,129.64";"3,060.99";"3,060.99";;1;
2025-09-15;"3,133.41";"3,080.03";"3,116.00";;1;
2025-09-12;"3,106.09";"3,063.68";"3,090.76";;1;
2025-09-11;"3,066.07";"3,036.38";"3,055.85";;1;
2025-09-10;"3,078.47";"3,045.62";"3,057.85";;1;
2025-09-09;"3,081.24";"3,046.04";"3,066.39";;1;
2025-09-08;"3,076.91";"3,041.18";"3,059.78";;1;
2025-09-05;"3,069.38";"3,016.29";"3,060.37";;1;
2025-09-04;"3,026.56";"2,998.99";"3,000.29";;1;
2025-09-03;"3,017.11";"2,982.50";"2,993.69";;1;
2025-09-02;"3,065.19";"2,972.67";"2,980.00";;1;
2025-09-01;"3,105.44";"3,065.11";"3,068.79";;1;
2025-08-29;"3,131.93";"3,078.84";"3,078.84";;1;
2025-08-28;"3,201.93";"3,116.78";"3,117.20";;1;
2025-08-27;"3,206.22";"3,144.71";"3,176.05";;1;
2025-08-26;"3,176.42";"3,144.78";"3,149.38";;1;
2025-08-25;"3,193.92";"3,161.24";"3,161.24";;1;
2025-08-22;"3,198.65";"3,150.64";"3,198.65";;1;
2025-08-21;"3,166.32";"3,126.57";"3,151.97";;1;
2025-08-20;"3,170.51";"3,128.74";"3,164.90";;1;
2025-08-19;"3,137.64";"3,091.23";"3,136.31";;1;
2025-08-18;"3,149.12";"3,091.40";"3,098.80";;1;
2025-08-15;"3,164.28";"3,126.95";"3,126.95";;1;
2025-08-14;"3,167.36";"3,134.58";"3,150.10";;1;
2025-08-13;"3,164.43";"3,121.65";"3,140.64";;1;
2025-08-12;"3,196.54";"3,148.59";"3,148.59";;1;
2025-08-11;"3,208.62";"3,179.21";"3,179.21";;1;
2025-08-08;"3,218.67";"3,191.34";"3,193.29";;1;
2025-08-07;"3,206.75";"3,178.48";"3,201.90";;1;
2025-08-06;"3,213.34";"3,162.52";"3,168.83";;1;
2025-08-05;"3,181.32";"3,159.22";"3,169.03";;1;
2025-08-04;"3,175.81";"3,135.53";"3,171.76";;1;
2025-08-01;"3,134.00";"3,086.24";"3,124.03";;1;
2025-07-31;"3,174.94";"3,133.27";"3,133.27";;1;
2025-07-30;"3,202.43";"3,144.02";"3,161.07";;1;
2025-07-29;"3,219.45";"3,132.48";"3,187.50";;1;
2025-07-28;"3,272.69";"3,217.65";"3,217.97";;1;
2025-07-25;"3,241.76";"3,216.44";"3,241.76";;1;
2025-07-24;"3,247.37";"3,215.47";"3,247.37";;1;
2025-07-23;"3,266.19";"3,219.99";"3,221.82";;1;
2025-07-22;"3,249.06";"3,226.98";"3,243.77";;1;
2025-07-21;"3,247.05";"3,201.62";"3,235.37";;1;
2025-07-18;"3,214.74";"3,179.85";"3,196.58";;1;
2025-07-17;"3,202.84";"3,181.37";"3,194.65";;1;
2025-07-16;"3,223.33";"3,190.56";"3,190.56";;1;
2025-07-15;"3,249.89";"3,197.17";"3,217.32";;1;
2025-07-14;"3,228.62";"3,188.73";"3,203.57";;1;
2025-07-11;"3,223.12";"3,194.16";"3,196.23";;1;
2025-07-10;"3,227.45";"3,198.41";"3,225.18";;1;
2025-07-09;"3,210.18";"3,174.89";"3,204.39";;1;
2025-07-08;"3,221.33";"3,184.03";"3,195.72";;1;
2025-07-07;"3,335.15";"3,222.37";"3,227.45";;1;
2025-07-04;"3,342.69";"3,301.18";"3,324.68";;1;
2025-07-03;"3,362.49";"3,326.07";"3,347.70";;1;
2025-07-02;"3,343.08";"3,300.63";"3,321.10";;1;
2025-07-01;"3,353.31";"3,299.89";"3,339.50";;1;
2025-06-30;"3,370.09";"3,294.41";"3,297.97";;1;
2025-06-27;"3,327.78";"3,288.78";"3,317.84";;1;
2025-06-26;"3,317.41";"3,271.32";"3,303.24";;1;
2025-06-25;"3,296.00";"3,255.48";"3,262.75";;1;
2025-06-24;"3,316.50";"3,251.06";"3,251.06";;1;
2025-06-23;"3,269.63";"3,202.65";"3,265.50";;1;
2025-06-19;"3,238.82";"3,198.32";"3,217.42";;1;
2025-06-18;"3,245.47";"3,186.13";"3,243.74";;1;
2025-06-17;"3,190.55";"3,145.79";"3,189.44";;1;
2025-06-16;"3,164.94";"3,078.61";"3,161.20";;1;
2025-06-13;"3,108.36";"3,085.08";"3,085.22";;1;
2025-06-12;"3,186.92";"3,126.36";"3,126.36";;1;
2025-06-11;"3,238.97";"3,182.96";"3,189.15";;1;
2025-06-10;"3,240.42";"3,220.85";"3,230.92";;1;
2025-06-09;"3,253.08";"3,194.99";"3,235.12";;1;
