sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-05-13;"3,774.59";"3,733.87";"3,747.28";;1;
2026-05-12;"3,740.92";"3,697.18";"3,739.10";;1;
2026-05-11;"3,779.03";"3,714.63";"3,763.59";;1;
2026-05-08;"3,731.45";"3,683.25";"3,717.99";;1;
2026-05-07;"3,788.57";"3,745.80";"3,748.69";;1;
2026-05-06;"3,777.71";"3,705.57";"3,759.49";;1;
2026-05-05;"3,712.92";"3,662.38";"3,681.71";;1;
2026-05-04;"3,719.23";"3,679.89";"3,698.25";;1;
2026-04-30;"3,700.93";"3,669.36";"3,700.24";;1;
2026-04-29;"3,697.05";"3,653.20";"3,681.54";;1;
2026-04-28;"3,688.61";"3,634.02";"3,664.12";;1;
2026-04-27;"3,709.38";"3,678.28";"3,690.86";;1;
2026-04-24;"3,732.72";"3,693.36";"3,694.51";;1;
2026-04-23;"3,798.21";"3,768.77";"3,776.42";;1;
2026-04-22;"3,821.70";"3,797.27";"3,799.23";;1;
2026-04-21;"3,884.35";"3,808.57";"3,820.20";;1;
2026-04-20;"3,881.63";"3,853.44";"3,873.56";;1;
2026-04-17;"3,901.11";"3,843.23";"3,900.92";;1;
2026-04-16;"3,866.99";"3,815.64";"3,854.96";;1;
2026-04-15;"3,859.49";"3,825.94";"3,826.79";;1;
2026-04-14;"3,826.18";"3,776.03";"3,821.63";;1;
2026-04-13;"3,773.58";"3,726.82";"3,762.90";;1;
2026-04-10;"3,810.49";"3,755.97";"3,779.20";;1;
2026-04-09;"3,767.71";"3,728.92";"3,748.11";;1;
2026-04-08;"3,807.46";"3,752.16";"3,767.44";;1;
2026-04-07;"3,767.74";"3,675.72";"3,682.77";;1;
2026-04-02;"3,739.28";"3,703.88";"3,712.09";;1;
2026-04-01;"3,756.94";"3,708.46";"3,750.73";;1;
2026-03-31;"3,664.96";"3,609.49";"3,652.41";;1;
2026-03-30;"3,614.16";"3,533.57";"3,604.88";;1;
2026-03-27;"3,589.74";"3,549.12";"3,558.84";;1;
2026-03-26;"3,542.57";"3,479.26";"3,533.23";;1;
2026-03-25;"3,515.54";"3,464.67";"3,515.54";;1;
2026-03-24;"3,454.42";"3,421.48";"3,442.16";;1;
2026-03-23;"3,473.55";"3,333.07";"3,431.71";;1;
2026-03-20;"3,509.11";"3,437.70";"3,437.70";;1;
2026-03-19;"3,523.00";"3,475.58";"3,481.37";;1;
2026-03-18;"3,611.85";"3,529.35";"3,537.90";;1;
2026-03-17;"3,585.49";"3,556.90";"3,573.94";;1;
2026-03-16;"3,569.80";"3,525.27";"3,568.89";;1;
2026-03-13;"3,587.70";"3,546.32";"3,550.95";;1;
2026-03-12;"3,608.99";"3,564.88";"3,571.09";;1;
2026-03-11;"3,615.02";"3,567.25";"3,578.46";;1;
2026-03-10;"3,639.85";"3,586.46";"3,620.20";;1;
2026-03-09;"3,552.04";"3,470.45";"3,547.05";;1;
2026-03-06;"3,619.36";"3,549.41";"3,566.01";;1;
2026-03-05;"3,634.44";"3,569.69";"3,571.04";;1;
2026-03-04;"3,620.82";"3,560.24";"3,602.49";;1;
2026-03-03;"3,587.72";"3,533.56";"3,554.85";;1;
2026-03-02;"3,656.07";"3,617.88";"3,627.62";;1;
2026-02-27;"3,686.17";"3,659.22";"3,686.17";;1;
2026-02-26;"3,671.80";"3,639.70";"3,652.22";;1;
2026-02-25;"3,675.63";"3,640.45";"3,645.53";;1;
2026-02-24;"3,691.35";"3,637.01";"3,649.65";;1;
2026-02-23;"3,676.53";"3,640.75";"3,661.66";;1;
2026-02-20;"3,687.92";"3,661.28";"3,683.22";;1;
2026-02-19;"3,698.88";"3,661.65";"3,665.01";;1;
2026-02-18;"3,727.54";"3,690.84";"3,712.56";;1;
2026-02-17;"3,671.36";"3,604.38";"3,666.76";;1;
2026-02-16;"3,661.89";"3,615.00";"3,616.61";;1;
2026-02-13;"3,661.44";"3,595.72";"3,652.19";;1;
2026-02-12;"3,671.49";"3,608.58";"3,608.58";;1;
2026-02-11;"3,669.51";"3,615.14";"3,644.99";;1;
2026-02-10;"3,681.56";"3,624.58";"3,654.88";;1;
2026-02-09;"3,687.34";"3,621.62";"3,636.03";;1;
2026-02-06;"3,653.40";"3,578.78";"3,653.40";;1;
2026-02-05;"3,625.18";"3,559.40";"3,625.18";;1;
2026-02-04;"3,578.13";"3,510.34";"3,562.63";;1;
2026-02-03;"3,566.76";"3,526.69";"3,543.11";;1;
2026-02-02;"3,581.53";"3,493.89";"3,576.00";;1;
2026-01-30;"3,527.25";"3,501.96";"3,506.46";;1;
2026-01-29;"3,559.44";"3,526.83";"3,530.25";;1;
2026-01-28;"3,600.09";"3,553.18";"3,567.87";;1;
2026-01-27;"3,623.45";"3,598.32";"3,619.20";;1;
2026-01-26;"3,611.77";"3,558.49";"3,611.68";;1;
2026-01-23;"3,608.52";"3,585.96";"3,596.97";;1;
2026-01-22;"3,587.36";"3,551.57";"3,581.35";;1;
2026-01-21;"3,532.19";"3,474.36";"3,515.23";;1;
